card_id,card_id_aa,name_eng,name_jap,AA,rarity,level,shop,p_20201219,p_20201226,p_20210104,p_20210109,p_20210116,p_20210124,p_20210130,p_20210206,p_20210214,p_20210221,p_20210225,p_20210227,p_20210307
BT1-010,BT1-010B,Agumon,アグモン,True,R,3,yuyutei,0.0,0.0,0.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,2480.0,0.0,2480,2480
BT1-011,BT1-011,Agumon Expert,アグモン博士,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-011,BT1-011,Agumon Expert,アグモン博士,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-012,BT1-012,Biyomon,ピヨモン,False,U,3,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-012,BT1-012,Biyomon,ピヨモン,False,U,3,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-013,BT1-013,Muchomon,ムーチョモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-013,BT1-013,Muchomon,ムーチョモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-014,BT1-014,Kokatorimon,コカトリモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-014,BT1-014,Kokatorimon,コカトリモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-015,BT1-015,Greymon,グレイモン,False,U,4,bigweb,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80
BT1-015,BT1-015,Greymon,グレイモン,False,U,4,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,0.0,200,300
BT1-016,BT1-016,Tyrannomon,ティラノモン,False,R,4,bigweb,120.0,120.0,120.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120,120
BT1-016,BT1-016,Tyrannomon,ティラノモン,False,R,4,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200,200
BT1-017,BT1-017,Birdramon,バードラモン,False,U,4,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-017,BT1-017,Birdramon,バードラモン,False,U,4,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-018,BT1-018,Flarerizamon,フレアリザモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-018,BT1-018,Flarerizamon,フレアリザモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-019,BT1-019,DarkTyrannomon,ダークティラノモン,False,C,4,bigweb,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
BT1-019,BT1-019,DarkTyrannomon,ダークティラノモン,False,C,4,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,100.0,0.0,100,100
BT1-020,BT1-020,Groundramon,グラウンドラモン,False,U,5,bigweb,150.0,150.0,0.0,0.0,0.0,180.0,180.0,180.0,180.0,180.0,180.0,180,180
BT1-020,BT1-020,Groundramon,グラウンドラモン,False,U,5,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,150.0,0.0,200,200
BT1-021,BT1-021,MetalGreymon,メタルグレイモン,False,U,5,bigweb,30.0,30.0,30.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-021,BT1-021,MetalGreymon,メタルグレイモン,False,U,5,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,100.0,100.0,0.0,100,100
BT1-022,BT1-022,Garudamon,ガルダモン,False,SR,5,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,200.0,200.0,200,200
BT1-022,BT1-022,Garudamon,ガルダモン,False,SR,5,yuyutei,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300,300
BT1-023,BT1-023,SkullGreymon,スカルグレイモン,False,R,5,bigweb,150.0,0.0,150.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150,150
BT1-023,BT1-023,SkullGreymon,スカルグレイモン,False,R,5,yuyutei,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,300,300
BT1-024,BT1-024,MetalTyrannomon,メタルティラノモン,False,C,5,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-024,BT1-024,MetalTyrannomon,メタルティラノモン,False,C,5,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-025,BT1-025,WarGreymon,ウォーグレイモン,False,SR,6,bigweb,300.0,300.0,280.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,480.0,480,480
BT1-025,BT1-025B,WarGreymon,ウォーグレイモン,True,SR,6,bigweb,2280.0,2280.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,2500,2500
BT1-025,BT1-025,WarGreymon,ウォーグレイモン,False,SR,6,yuyutei,0.0,0.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500,580
BT1-025,BT1-025B,WarGreymon,ウォーグレイモン,True,SR,6,yuyutei,0.0,0.0,0.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0,0.0,2480,2480
BT1-026,BT1-026,Brakedramon,ブレイクドラモン,False,U,6,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-026,BT1-026,Brakedramon,ブレイクドラモン,False,U,6,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-027,BT1-027,Armadillomon,アルマジモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-027,BT1-027,Armadillomon,アルマジモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-028,BT1-028,Elecmon,エレキモン,False,C,3,bigweb,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60,60
BT1-028,BT1-028,Elecmon,エレキモン,False,C,3,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-029,BT1-029,Gabumon,ガブモン,False,R,3,bigweb,250.0,200.0,200.0,0.0,0.0,250.0,250.0,250.0,250.0,250.0,250.0,250,300
BT1-029,BT1-029B,Gabumon,ガブモン,True,R,3,bigweb,2500.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2980
BT1-029,BT1-029,Gabumon,ガブモン,False,R,3,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,0.0,300,300
BT1-029,BT1-029B,Gabumon,ガブモン,True,R,3,yuyutei,0.0,0.0,0.0,1980.0,1980.0,1980.0,2480.0,2480.0,2480.0,2980.0,0.0,2980,2980
BT1-030,BT1-030,Gomamon,ゴマモン,False,C,3,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-030,BT1-030,Gomamon,ゴマモン,False,C,3,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-031,BT1-031,Monmon,コエモン,False,U,3,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-031,BT1-031,Monmon,コエモン,False,U,3,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-032,BT1-032,Frigimon,ユキダルモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-032,BT1-032,Frigimon,ユキダルモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-033,BT1-033,Orcamon,ルカモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-033,BT1-033,Orcamon,ルカモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-034,BT1-034,Ikkakumon,イッカクモン,False,R,4,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-034,BT1-034,Ikkakumon,イッカクモン,False,R,4,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-035,BT1-035,Leomon,レオモン,False,U,4,bigweb,120.0,120.0,120.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
BT1-035,BT1-035,Leomon,レオモン,False,U,4,yuyutei,0.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,100.0,0.0,100,100
BT1-036,BT1-036,Garurumon,ガルルモン,False,U,4,bigweb,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80
BT1-036,BT1-036,Garurumon,ガルルモン,False,U,4,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-037,BT1-037,Gorillamon,ゴリモン,False,C,4,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-037,BT1-037,Gorillamon,ゴリモン,False,C,4,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-038,BT1-038,Monzaemon,もんざえモン,False,C,5,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-038,BT1-038,Monzaemon,もんざえモン,False,C,5,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-039,BT1-039,Cerberusmon,ケルベロモン,False,R,5,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-039,BT1-039,Cerberusmon,ケルベロモン,False,R,5,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-040,BT1-040,WereGarurumon,ワーガルルモン,False,U,5,bigweb,80.0,90.0,90.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90,90
BT1-040,BT1-040,WereGarurumon,ワーガルルモン,False,U,5,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-041,BT1-041,Zudomon,ズドモン,False,SR,5,bigweb,300.0,300.0,280.0,0.0,0.0,280.0,280.0,280.0,350.0,350.0,350.0,350,350
BT1-041,BT1-041,Zudomon,ズドモン,False,SR,5,yuyutei,0.0,0.0,0.0,500.0,500.0,500.0,300.0,300.0,300.0,300.0,0.0,300,300
BT1-042,BT1-042,LoaderLiomon,ローダーレオモン,False,U,5,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-042,BT1-042,LoaderLiomon,ローダーレオモン,False,U,5,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-043,BT1-043,SaberLeomon,サーベルレオモン,False,U,6,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-043,BT1-043,SaberLeomon,サーベルレオモン,False,U,6,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-044,BT1-044,MetalGarurumon,メタルガルルモン,False,SR,6,bigweb,380.0,380.0,280.0,0.0,0.0,300.0,300.0,0.0,0.0,300.0,300.0,350,350
BT1-044,BT1-044B,MetalGarurumon,メタルガルルモン,True,SR,6,bigweb,1280.0,1280.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0,1980
BT1-044,BT1-044,MetalGarurumon,メタルガルルモン,False,SR,6,yuyutei,0.0,0.0,0.0,500.0,500.0,500.0,400.0,400.0,400.0,400.0,0.0,400,400
BT1-044,BT1-044B,MetalGarurumon,メタルガルルモン,True,SR,6,yuyutei,0.0,0.0,0.0,1480.0,1480.0,1480.0,1480.0,1480.0,1780.0,1780.0,0.0,1780,1780
BT1-045,BT1-045,Tsukaimon,ツカイモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-045,BT1-045,Tsukaimon,ツカイモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-046,BT1-046,Kudamon,クダモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-046,BT1-046,Kudamon,クダモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-047,BT1-047,Tinkermon,ティンカーモン,False,U,3,bigweb,100.0,150.0,150.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150,150
BT1-047,BT1-047,Tinkermon,ティンカーモン,False,U,3,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-048,BT1-048,Patamon,パタモン,False,R,3,bigweb,180.0,180.0,180.0,0.0,0.0,180.0,180.0,180.0,180.0,180.0,180.0,180,180
BT1-048,BT1-048,Patamon,パタモン,False,R,3,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-049,BT1-049,Labramon,ラブラモン,False,U,3,bigweb,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
BT1-049,BT1-049,Labramon,ラブラモン,False,U,3,yuyutei,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50,50
BT1-050,BT1-050,Liollmon,レオルモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-050,BT1-050,Liollmon,レオルモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-051,BT1-051,Reppamon,レッパモン,False,C,4,bigweb,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80
BT1-051,BT1-051,Reppamon,レッパモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-052,BT1-052,Seasarmon,シーサモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-052,BT1-052,Seasarmon,シーサモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-053,BT1-053,Darcmon,ダルクモン,False,U,4,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-053,BT1-053,Darcmon,ダルクモン,False,U,4,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-054,BT1-054,Liamon,ライアモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-054,BT1-054,Liamon,ライアモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-055,BT1-055,Angemon,エンジェモン,False,R,4,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-055,BT1-055,Angemon,エンジェモン,False,R,4,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-056,BT1-056,Petermon,ピーターモン,False,U,4,bigweb,80.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
BT1-056,BT1-056,Petermon,ピーターモン,False,U,4,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-057,BT1-057,Sirenmon,セイレーンモン,False,U,5,bigweb,120.0,120.0,0.0,0.0,0.0,180.0,180.0,180.0,180.0,180.0,180.0,180,180
BT1-057,BT1-057,Sirenmon,セイレーンモン,False,U,5,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-058,BT1-058,Chirinmon,チィリンモン,False,U,5,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-058,BT1-058,Chirinmon,チィリンモン,False,U,5,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-059,BT1-059,Piximon,ピッコロモン,False,C,5,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-059,BT1-059,Piximon,ピッコロモン,False,C,5,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-060,BT1-060,MagnaAngemon,ホーリーエンジェモン,False,SR,5,bigweb,700.0,800.0,800.0,0.0,0.0,800.0,800.0,700.0,0.0,700.0,700.0,700,700
BT1-060,BT1-060B,MagnaAngemon,ホーリーエンジェモン,True,SR,5,bigweb,1500.0,0.0,1600.0,0.0,0.0,0.0,1980.0,1980.0,0.0,1900.0,1900.0,1900,1900
BT1-060,BT1-060,MagnaAngemon,ホーリーエンジェモン,False,SR,5,yuyutei,0.0,0.0,0.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,0.0,780,780
BT1-060,BT1-060B,MagnaAngemon,ホーリーエンジェモン,True,SR,5,yuyutei,0.0,0.0,0.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,0.0,1780,1780
BT1-061,BT1-061,Mistymon,ミスティモン,False,R,5,bigweb,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
BT1-061,BT1-061,Mistymon,ミスティモン,False,R,5,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-062,BT1-062,SlashAngemon,スラッシュエンジェモン,False,U,6,bigweb,80.0,90.0,90.0,0.0,0.0,100.0,100.0,100.0,120.0,120.0,120.0,120,200
BT1-062,BT1-062,SlashAngemon,スラッシュエンジェモン,False,U,6,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-063,BT1-063,Seraphimon,セラフィモン,False,SR,6,bigweb,450.0,500.0,400.0,0.0,0.0,400.0,400.0,400.0,0.0,400.0,400.0,400,400
BT1-063,BT1-063,Seraphimon,セラフィモン,False,SR,6,yuyutei,0.0,0.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0.0,500,500
BT1-064,BT1-064,Goblimon,ゴブリモン,False,C,3,bigweb,80.0,90.0,90.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90,90
BT1-064,BT1-064,Goblimon,ゴブリモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-065,BT1-065,Mushroomon,マッシュモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-065,BT1-065,Mushroomon,マッシュモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-066,BT1-066,Tentomon,テントモン,False,U,3,bigweb,80.0,80.0,80.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80,80
BT1-066,BT1-066,Tentomon,テントモン,False,U,3,yuyutei,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100,100
BT1-067,BT1-067,Palmon,パルモン,False,U,3,bigweb,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
BT1-067,BT1-067,Palmon,パルモン,False,U,3,yuyutei,0.0,0.0,0.0,200.0,200.0,150.0,200.0,200.0,200.0,50.0,0.0,100,100
BT1-068,BT1-068,Kokuwamon,コクワモン,False,C,3,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-068,BT1-068,Kokuwamon,コクワモン,False,C,3,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-069,BT1-069,Ogremon,オーガモン,False,C,4,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-069,BT1-069,Ogremon,オーガモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-070,BT1-070,Kuwagamon,クワガーモン,False,U,4,bigweb,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30
BT1-070,BT1-070,Kuwagamon,クワガーモン,False,U,4,yuyutei,0.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30,30
BT1-071,BT1-071,Vegiemon,ベジーモン,False,C,4,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-071,BT1-071,Vegiemon,ベジーモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-072,BT1-072,Woodmon,ウッドモン,False,U,4,bigweb,200.0,200.0,200.0,0.0,0.0,280.0,280.0,280.0,280.0,280.0,280.0,200,200
BT1-072,BT1-072,Woodmon,ウッドモン,False,U,4,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200,200
BT1-073,BT1-073,Kabuterimon,カブテリモン,False,C,4,bigweb,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50
BT1-073,BT1-073,Kabuterimon,カブテリモン,False,C,4,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
BT1-074,BT1-074,Togemon,トゲモン,False,R,4,bigweb,200.0,200.0,200.0,0.0,0.0,220.0,220.0,220.0,220.0,220.0,220.0,220,220
BT1-074,BT1-074,Togemon,トゲモン,False,R,4,yuyutei,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,200,200
BT1-075,BT1-075,Digitamamon,デジタマモン,False,C,5,bigweb,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20
BT1-075,BT1-075,Digitamamon,デジタマモン,False,C,5,yuyutei,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20,20
